optimizer,radius,mean_loss_increase,std_loss_increase,max_loss_increase
AdamW,0.001,0.00015628720642230087,0.00022851807442987975,0.0006091447051511656
AdamW,0.005,0.0008186513130817863,0.0011956639973284605,0.00319036567976716
AdamW,0.01,0.001732083909008475,0.0025262081841265537,0.006748044709546819
Muon,0.001,7.045586174780905e-05,7.017694438867815e-05,0.00020362368417442545
Muon,0.005,0.0003664232722116245,0.0003844999852443322,0.0011030367208183511
Muon,0.01,0.0007683213150829537,0.000853252415659088,0.002417181883383246
